"Male","Female","Mate","Cross","Findex","Mindex"
"10","10",1,"R/R",1,1
"10","12",1,"R/R",3,1
"10","28",1,"W/R",19,1
"10","26",1,"W/R",17,1
"10","11",1,"R/R",2,1
"10","25",0,"W/R",16,1
"11","13",1,"R/R",4,3
"11","12",1,"R/R",3,3
"11","26",0,"W/R",17,3
"11","29",0,"W/R",20,3
"11","25",0,"W/R",16,3
"11","14",1,"R/R",5,3
"12","27",0,"W/R",18,5
"12","28",1,"W/R",19,5
"12","29",1,"W/R",20,5
"12","11",1,"R/R",2,5
"12","14",1,"R/R",5,5
"12","12",1,"R/R",3,5
"13","10",1,"R/R",1,4
"13","28",0,"W/R",19,4
"13","25",0,"W/R",16,4
"13","27",0,"W/R",18,4
"13","14",1,"R/R",5,4
"13","13",1,"R/R",4,4
"14","26",1,"W/R",17,2
"14","10",1,"R/R",1,2
"14","27",0,"W/R",18,2
"14","13",1,"R/R",4,2
"14","29",0,"W/R",20,2
"14","11",1,"R/R",2,2
"15","24",0,"W/R",15,15
"15","18",1,"R/R",9,15
"15","17",1,"R/R",8,15
"15","16",0,"R/R",7,15
"15","22",0,"W/R",13,15
"15","21",0,"W/R",12,15
"16","22",0,"W/R",13,12
"16","21",0,"W/R",12,12
"16","19",0,"R/R",10,12
"16","20",1,"W/R",11,12
"16","15",0,"R/R",6,12
"16","18",0,"R/R",9,12
"17","16",0,"R/R",7,13
"17","23",1,"W/R",14,13
"17","22",0,"W/R",13,13
"17","19",0,"R/R",10,13
"17","15",1,"R/R",6,13
"17","24",0,"W/R",15,13
"18","15",1,"R/R",6,11
"18","23",0,"W/R",14,11
"18","16",1,"R/R",7,11
"18","21",0,"W/R",12,11
"18","20",0,"W/R",11,11
"18","17",1,"R/R",8,11
"19","24",0,"W/R",15,14
"19","20",0,"W/R",11,14
"19","18",1,"R/R",9,14
"19","17",0,"R/R",8,14
"19","23",0,"W/R",14,14
"19","19",0,"R/R",10,14
"20","14",1,"R/W",5,18
"20","10",0,"R/W",1,18
"20","12",0,"R/W",3,18
"20","28",1,"W/W",19,18
"20","27",1,"W/W",18,18
"20","26",1,"W/W",17,18
"21","29",1,"W/W",20,20
"21","27",1,"W/W",18,20
"21","14",1,"R/W",5,20
"21","11",1,"R/W",2,20
"21","25",0,"W/W",16,20
"21","13",1,"R/W",4,20
"22","28",1,"W/W",19,19
"22","25",1,"W/W",16,19
"22","12",1,"R/W",3,19
"22","11",1,"R/W",2,19
"22","29",1,"W/W",20,19
"22","14",1,"R/W",5,19
"23","10",1,"R/W",1,17
"23","26",1,"W/W",17,17
"23","13",1,"R/W",4,17
"23","12",1,"R/W",3,17
"23","28",1,"W/W",19,17
"23","29",0,"W/W",20,17
"24","26",1,"W/W",17,16
"24","11",1,"R/W",2,16
"24","27",1,"W/W",18,16
"24","13",0,"R/W",4,16
"24","25",0,"W/W",16,16
"24","10",1,"R/W",1,16
"25","17",0,"R/W",8,8
"25","22",1,"W/W",13,8
"25","24",0,"W/W",15,8
"25","15",1,"R/W",6,8
"25","19",1,"R/W",10,8
"25","21",0,"W/W",12,8
"26","19",0,"R/W",10,10
"26","21",1,"W/W",12,10
"26","22",0,"W/W",13,10
"26","17",0,"R/W",8,10
"26","24",0,"W/W",15,10
"26","16",0,"R/W",7,10
"27","20",1,"W/W",11,7
"27","24",1,"W/W",15,7
"27","23",1,"W/W",14,7
"27","19",1,"R/W",10,7
"27","18",1,"R/W",9,7
"27","16",0,"R/W",7,7
"28","20",1,"W/W",11,6
"28","16",0,"R/W",7,6
"28","23",1,"W/W",14,6
"28","18",1,"R/W",9,6
"28","22",0,"W/W",13,6
"28","15",1,"R/W",6,6
"29","21",0,"W/W",12,9
"29","17",1,"R/W",8,9
"29","18",0,"R/W",9,9
"29","23",1,"W/W",14,9
"29","20",1,"W/W",11,9
"29","15",1,"R/W",6,9
"30","30",1,"R/R",21,21
"30","32",1,"R/R",23,21
"30","31",0,"R/R",22,21
"31","33",0,"R/R",24,23
"31","32",0,"R/R",23,23
"31","34",0,"R/R",25,23
"32","31",1,"R/R",22,25
"32","34",1,"R/R",25,25
"32","32",1,"R/R",23,25
"33","30",1,"R/R",21,24
"33","34",1,"R/R",25,24
"33","33",1,"R/R",24,24
"34","30",1,"R/R",21,22
"34","33",0,"R/R",24,22
"34","31",1,"R/R",22,22
"35","38",1,"R/R",29,35
"35","37",0,"R/R",28,35
"35","36",1,"R/R",27,35
"36","39",0,"R/R",30,32
"36","35",0,"R/R",26,32
"36","38",1,"R/R",29,32
"37","36",1,"R/R",27,33
"37","39",1,"R/R",30,33
"37","35",0,"R/R",26,33
"38","35",1,"R/R",26,31
"38","36",1,"R/R",27,31
"38","37",0,"R/R",28,31
"39","38",1,"R/R",29,34
"39","37",0,"R/R",28,34
"39","39",0,"R/R",30,34
"40","34",0,"R/W",25,38
"40","30",0,"R/W",21,38
"40","32",1,"R/W",23,38
"41","34",0,"R/W",25,40
"41","31",1,"R/W",22,40
"41","33",0,"R/W",24,40
"42","32",1,"R/W",23,39
"42","31",0,"R/W",22,39
"42","34",0,"R/W",25,39
"43","30",0,"R/W",21,37
"43","33",0,"R/W",24,37
"43","32",1,"R/W",23,37
"44","31",1,"R/W",22,36
"44","33",0,"R/W",24,36
"44","30",0,"R/W",21,36
"45","37",1,"R/W",28,28
"45","35",0,"R/W",26,28
"45","39",1,"R/W",30,28
"46","39",0,"R/W",30,30
"46","37",0,"R/W",28,30
"46","36",0,"R/W",27,30
"47","39",1,"R/W",30,27
"47","38",1,"R/W",29,27
"47","36",1,"R/W",27,27
"48","36",0,"R/W",27,26
"48","38",0,"R/W",29,26
"48","35",1,"R/W",26,26
"49","37",1,"R/W",28,29
"49","38",1,"R/W",29,29
"49","35",1,"R/W",26,29
